,target,text
1533,4,"['sound', 'like', 'a', 'good', 'guid', 'book', 'phoooooto']"
985,4,"['is', 'watch', 'titan']"
233,0,"['live', 'tweet', 'stream', 'on', 'sytycd', 'i', 'miss', 'dena', 'and', 'lisa']"
62,0,"['wake', 'up', 'earli', 'tomorrow']"
601,0,"['so', 'if', 'they', 'are', 'conclud', 'that', 'there', 'are', 'no', 'survivor', 'it', 'becaus', 'they', 'found', 'the', 'plane', 'they', 'mention', 'a', 'crash']"
6,0,"['you', 'know', 'it', 's', 'realli', 'sad', 'that', 'u', 'know', 'that', 'ur', 'classmat', 'don', 't', 'care', 'about', 'you', 'sad', 'memori', 't', 't']"
220,0,"['dope', 'track', 'but', 'no', 'download']"
641,0,"['work', 'on', 'this', 'sunni', 'day']"
1418,4,"['there', 'are', 'a', 'lot', 'of', 'vegan', 'coffe', 'creamer', 'f', 'i', 'that', 'one', 'by', 'soyatoo']"
701,0,"['is', 'love', 'the', 'hot', 'weather', 'final', 'too', 'bad', 'i', 'll', 'be', 'stuck', 'at', '2', 'job', 'today']"
485,0,"['coach', 'b', 'i', 'just', 'saw', 'ur', 'msg', 'you', 'were', 'n', 'okc', '4059239095', 'call', 'me', 'sometim']"
737,0,"['at', 'mr', 'v', 's', 'for', 'dinner', 'and', 'eddi', 'isnt', 'work', 'tonit']"
176,0,"['crappi', 'day', 'turn', 'awesom', 'at', 'work', 'onli', 'to', 'come', 'home', 'to', 'discov', 'that', 'my', 'chico', 'dog', 'is', 'sick']"
530,0,"['hate', 'overtim']"
1244,4,"['thank', 'you', 'to', 'everyon', 'whose', 'follow', 'me', 'onc', 'i', 'get', 'to', 'a', 'pc', 'ill', 'follow', 'u']"
1562,4,"['off', 'to', 'school', 'after', 'my', 'week', 'off', 'and', 'i', 'think', 'yaseminx3', 'is', 'extrem', 'lucki', 'becaus', 'she', 'has', 'today', 'off']"
39,0,"['twist', 'gahh', 'studi', 'is', 'make', 'screw', 'up', 'my', 'commerci']"
45,0,"['one', 'month', 'ago', 'i', 'was', 'the', 'most', 'happiest', 'person', 'n', 'now', 'ijustwannadi']"
181,0,"['twitter', 'is', 'somehow', 'bor']"
1035,4,"['i', 'love', 'the', 'theme', 'song', 'quot', 'it', 'all', 'start', 'with', 'the', 'big', 'bang', 'bang', 'quot']"
822,4,"['i', 'have', 'far', 'to', 'mani', 'random', 'updat', 'than', 'im', 'never', 'gonna', 'reaad', 'and', 'heiiii', 'channelll']"
1080,4,"['amen', 'and', 'let', 's', 'not', 'forget', 'the', '14e', 'gs', 'titl', 'which', 'put', 'him', 'right', 'next', 'to', 'sampra', 'no', 'pressur', 'roger', 'noooo', 'pressur']"
246,0,"['i', 'could', 'tell', 'the', 'shade', 'i', 'didn', 't', 'get', 'ani', 'color', 'm', 'b', 'the', 'dolphin', 'one', 'i', 'want', 'to', 'get', 'like', 'that', 'pic', 'in', 'the', 'vid', 'of', 'my', 'son']"
1297,4,"['secret', 'twitter', 'will', 'eat', 'your', 'soul', 'i', 'kick', 'that', 'habit']"
614,0,"['i', 'hate', 'i', 'miss', 'my', 'am', 'walk', 'with', 'my', '2', 'partner', '20', 'flight', 'it', 'is']"
719,0,"['so', 'much', 'hw', 'to', 'do', 'where', 'to', 'begin']"
1271,4,['eat']
161,0,"['i', 'didn', 't', 'get', 'my', 'free', 'coke', 'glass']"
806,4,"['happi', 'birthday']"
1063,4,"['we', 're', 'have', 'leeki', 'linguin', 'with', 'shrimp', 'and', 'sour', 'dough', 'bread', 'on', 'the', 'side', 'it', 's', 'super', 'easi', 'to', 'cook', 'and', 'tast', 'delici']"
78,0,"['okay', 'appar', 'i', 'didn', 't', 'miss', 'the', 'deadlin', 'for', 'jb', 'm', 'amp', 'g', 's', 'but', 'it', 'would', 'be', 'kinda', 'lame', 'to', 'win', 'i', 'would', 'feel', 'realli', 'bad', 'about', 'it']"
137,0,"['im', 'get', 'my', 'wisdom', 'teeth', 'out', 'tomorrrow']"
136,0,"['dont', 'like', 'it', 'when', 'the', 'tour', 'end']"
1407,4,"['that', 's', 'becaus', 'we', 're', 'fantast']"
443,0,"['elect', 'is', 'go', 'bad', 'go', 'and', 'vote', 'what', 'he', 'hell', 'is', 'wrong', 'with', 'you']"
223,0,"['oh', 'my', 'freak', 'god', 'i', 'hate', 'you']"
1493,4,"['i', 'need', 'a', 'nap', 'or', 'someth', 'so', 'full', 'from', 'dinner']"
68,0,"['disappoint', 'sign', 'off']"
249,0,"['gosh', 'i', 'miss', 'junpyo', 'gotta', 'hit', 'quiapo', 'for', 'the', 'the', 'bof', 'dvd', 'lol']"
1551,4,"['yes', 'a', 'nap', 'doe', 'sound', 'good']"
1225,4,"['nice', 'didn', 't', 'sing', 'to', 'mine', 'can', 't', 'but', 'look', 'for', 'lesson', 'to', 'chang', 'that']"
733,0,"['ok', 'slept', '7', 'hour', 'today', 'better', 'than', 'the', '12', '5', 'of', 'yesterday', 'still', 'woke', 'up', 'at', '8', 'not', 'good', 'must', 'work', 'on', 'that', 'befor', 'tuesday']"
221,0,"['say', 'happi', 'birthday', 'nanda', 'to', 'nanda', 'marinho', 'pleas']"
912,4,"['amaz', 'person', 'and', 'a', 'leader', 'now', 'it', 'time', 'to', 'say', 'a', 'big', 'thank', 'you', 'dial', 'my', 'number', 'ani', 'time', 'as', 'you', 'will', 'alway', 'have', 'me', 'as', 'a', 'friend']"
761,0,"['we', 'can', 't', 'even', 'get', 'in', 'on', 'the', 'internet', 'i', 'serious', 'doubt', 'it', 'ever', 'make', 'it', 'to', 'the', 'iphon']"
211,0,"['oh', 'that', 's', 'aw', 'i', 'hate', 'when', 'you', 'trust', 'someon', 'and', 'they', 'hurt', 'you', 'so', 'much', 'grr']"
549,0,"['awww', 'crap', 'have', 'to', 'report', 'at', '830']"
432,0,"['yeah', 'not', 'good']"
835,4,"['ilov', 'everyth', 'old', 'school']"
